,chapter,section,title,url,paragraph_id,sentence,within_para_sent_order,sentence_id,terms,N_terms
14989,4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,2961,"All cells share four common components: 1) a plasma membrane, an outer covering that separates the cell’s interior from its surrounding environment; 2) cytoplasm, consisting of a jelly-like cytosol within the cell in which there are other cellular components; 3) DNA, the cell's genetic material; and 4) ribosomes, which synthesize proteins.",1,0,"['cytosol', 'plasma membrane']",2
14993,4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,2962,Prokaryotic DNA is in the cell's central part: the nucleoid (Figure ).,3,1,"['prokaryotic dna', 'nucleoid']",2
14994,4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,2963,Most prokaryotes have a peptidoglycan cell wall and many have a polysaccharide capsule (Figure ).,1,2,"['peptidoglycan cell wall', 'polysaccharide capsule']",2
15000,4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,2963,Bacteria use fimbriae to attach to a host cell.,7,3,"['fimbriae', 'host cell']",2
15012,4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,2966,"They can work in the pharmaceutical sector, serving key roles in research and development by identifying new antibiotic sources that can treat bacterial infections.",4,4,"['bacterial infection', 'development']",2
15016,4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,2968,"At  to  μm in diameter, prokaryotic cells are significantly smaller than eukaryotic cells, which have diameters ranging from 10 to 100 μm (Figure ).",1,5,"['prokaryotic cell', 'eukaryotic cell']",2
15019,4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,2968,"This is not the case in eukaryotic cells, which have developed different structural adaptations to enhance intracellular transport.",4,6,"['eukaryotic cell', 'intracellular transport']",2
15033,4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,2970,Prokaryotic cells are much smaller than eukaryotic cells.,1,7,"['prokaryotic cell', 'eukaryotic cell']",2
14989,4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,2961,"All cells share four common components: 1) a plasma membrane, an outer covering that separates the cell’s interior from its surrounding environment; 2) cytoplasm, consisting of a jelly-like cytosol within the cell in which there are other cellular components; 3) DNA, the cell's genetic material; and 4) ribosomes, which synthesize proteins.",1,8,"['cytosol', 'plasma membrane']",2
14993,4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,2962,Prokaryotic DNA is in the cell's central part: the nucleoid (Figure ).,3,9,"['prokaryotic dna', 'nucleoid']",2
14994,4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,2963,Most prokaryotes have a peptidoglycan cell wall and many have a polysaccharide capsule (Figure ).,1,10,"['peptidoglycan cell wall', 'polysaccharide capsule']",2
15000,4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,2963,Bacteria use fimbriae to attach to a host cell.,7,11,"['fimbriae', 'host cell']",2
15012,4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,2966,"They can work in the pharmaceutical sector, serving key roles in research and development by identifying new antibiotic sources that can treat bacterial infections.",4,12,"['bacterial infection', 'development']",2
15016,4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,2968,"At  to  μm in diameter, prokaryotic cells are significantly smaller than eukaryotic cells, which have diameters ranging from 10 to 100 μm (Figure ).",1,13,"['prokaryotic cell', 'eukaryotic cell']",2
15019,4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,2968,"This is not the case in eukaryotic cells, which have developed different structural adaptations to enhance intracellular transport.",4,14,"['eukaryotic cell', 'intracellular transport']",2
15033,4,2,Prokaryotic Cells,https://archive.cnx.org/contents/8d50a0af-948b-4204-a71d-4826cba765b8@16.1:1926a985-c22b-4e1b-9e74-9acad31dc1b0@11,2970,Prokaryotic cells are much smaller than eukaryotic cells.,1,15,"['prokaryotic cell', 'eukaryotic cell']",2
