task_id,sentence,term_1,term_2,family_mode,family_out,difficulty
0,Cells fall into one of two broad categories: prokaryotic and eukaryotic.,cells,prokaryotic,taxonomy,taxonomy,-0.7302522680874659
1,Cells fall into one of two broad categories: prokaryotic and eukaryotic.,cells,eukaryotic,taxonomy,taxonomy,-0.9469914949933473
2,Cells fall into one of two broad categories: prokaryotic and eukaryotic.,prokaryotic,eukaryotic,no_relationship,no_relationship,0.3671544163533323
3,We classify only the predominantly single-celled organisms Bacteria and Archaea as prokaryotes (pro- = “before”; -kary- = “nucleus”).,archaea,prokaryotes,taxonomy,taxonomy,0.2615335573015639
4,We classify only the predominantly single-celled organisms Bacteria and Archaea as prokaryotes (pro- = “before”; -kary- = “nucleus”).,archaea,single-celled organisms,taxonomy,taxonomy,0.17033904350007675
5,We classify only the predominantly single-celled organisms Bacteria and Archaea as prokaryotes (pro- = “before”; -kary- = “nucleus”).,archaea,bacteria,no_relationship,no_relationship,0.6123346446433433
6,We classify only the predominantly single-celled organisms Bacteria and Archaea as prokaryotes (pro- = “before”; -kary- = “nucleus”).,prokaryotes,single-celled organisms,taxonomy,taxonomy,1.0367883247354603
7,We classify only the predominantly single-celled organisms Bacteria and Archaea as prokaryotes (pro- = “before”; -kary- = “nucleus”).,prokaryotes,bacteria,taxonomy,taxonomy,0.35134421974387764
8,We classify only the predominantly single-celled organisms Bacteria and Archaea as prokaryotes (pro- = “before”; -kary- = “nucleus”).,single-celled organisms,bacteria,taxonomy,taxonomy,-0.141493601509238
9,"Animal cells, plants, fungi, and protists are all eukaryotes (eu- = “true”).",eukaryotes,animal cells,taxonomy,taxonomy,-0.9534036141860947
10,"Animal cells, plants, fungi, and protists are all eukaryotes (eu- = “true”).",eukaryotes,protists,taxonomy,taxonomy,-0.34186633267216787
11,"Animal cells, plants, fungi, and protists are all eukaryotes (eu- = “true”).",eukaryotes,fungi,taxonomy,taxonomy,-0.6761486837545376
12,"Animal cells, plants, fungi, and protists are all eukaryotes (eu- = “true”).",eukaryotes,plants,taxonomy,taxonomy,-0.756400213428384
13,"Animal cells, plants, fungi, and protists are all eukaryotes (eu- = “true”).",animal cells,protists,no_relationship,no_relationship,0.07335590903500877
14,"Animal cells, plants, fungi, and protists are all eukaryotes (eu- = “true”).",animal cells,fungi,no_relationship,no_relationship,0.0015828267737585848
15,"Animal cells, plants, fungi, and protists are all eukaryotes (eu- = “true”).",animal cells,plants,no_relationship,no_relationship,0.017062776554640734
16,"Animal cells, plants, fungi, and protists are all eukaryotes (eu- = “true”).",protists,fungi,no_relationship,no_relationship,0.027587998222167096
17,"Animal cells, plants, fungi, and protists are all eukaryotes (eu- = “true”).",protists,plants,no_relationship,no_relationship,-0.29299940942895236
18,"Animal cells, plants, fungi, and protists are all eukaryotes (eu- = “true”).",fungi,plants,no_relationship,no_relationship,-0.1950206511419179
19,"All cells share four common components: 1) a plasma membrane, an outer covering that separates the cell’s interior from its surrounding environment; 2) cytoplasm, consisting of a jelly-like cytosol within the cell in which there are other cellular components; 3) DNA, the cell's genetic material; and 4) ribosomes, which synthesize proteins.",cells,cytosol,component,component,0.9590447695975678
20,"All cells share four common components: 1) a plasma membrane, an outer covering that separates the cell’s interior from its surrounding environment; 2) cytoplasm, consisting of a jelly-like cytosol within the cell in which there are other cellular components; 3) DNA, the cell's genetic material; and 4) ribosomes, which synthesize proteins.",cells,ribosomes,component,component,0.10291210749561297
