task_id,sentence,term_1,term_2,family_mode,family_out,difficulty
0,"The term stress as it relates to the human condition first emerged in scientific literature in the 1930s, but it did not enter the popular vernacular until the 1970s (Lyon, 2012).",vernacular,stress,no_relationship,no_relationship,-0.6213257106558727
1,"Despite the widespread use of the term, stress is a fairly vague concept that is difficult to define with precision.",stress,concept,no_relationship,no_relationship,0.21161614655774785
2,Such conceptualizations are known as stimulus-based definitions because they characterize stress as a stimulus that causes certain reactions.,reactions,stimulus,causal,causal,0.7278220127730065
3,Such conceptualizations are known as stimulus-based definitions because they characterize stress as a stimulus that causes certain reactions.,reactions,stress,causal,causal,0.13203979896456097
4,Such conceptualizations are known as stimulus-based definitions because they characterize stress as a stimulus that causes certain reactions.,stimulus,stress,causal,no_relationship,0.7607471204673404
5,"Others have conceptualized stress in ways that emphasize the physiological responses that occur when faced with demanding or threatening situations (e.g., increased arousal).",arousal,stress,causal,causal,0.7736513804658874
6,"Others have conceptualized stress in ways that emphasize the physiological responses that occur when faced with demanding or threatening situations (e.g., increased arousal).",arousal,physiological responses,causal,causal,0.7134876712834763
7,"Others have conceptualized stress in ways that emphasize the physiological responses that occur when faced with demanding or threatening situations (e.g., increased arousal).",stress,physiological responses,causal,causal,0.6949633221726612
8,These conceptualizations are referred to as response-based definitions because they describe stress as a response to environmental conditions.,response-based,stress,no_relationship,no_relationship,0.45077120623181655
9,Selye's definition of stress is response-based in that it conceptualizes stress chiefly in terms of the body's physiological reaction to any demand that is placed on it.,response-based,stress,no_relationship,no_relationship,0.47042875531534173
10,Neither stimulus-based nor response-based definitions provide a complete definition of stress.,response-based,stress,no_relationship,no_relationship,0.5084227230499021
11,"Many of the physiological reactions that occur when faced with demanding situations (e.g., accelerated heart rate) can also occur in response to things that most people would not consider to be genuinely stressful, such as receiving unanticipated good news: an unexpected promotion or raise.",physiological reactions,heart rate,functional,functional,0.7684781413017787
12,"A useful way to conceptualize stress is to view it as a process whereby an individual perceives and responds to events that he appraises as overwhelming or threatening to his well-being (Lazarus & Folkman, 1984).",stress,well-being,participant,no_relationship,0.6918424019305047
13,Two kinds of appraisals of a stressor are especially important in this regard: primary and secondary appraisals.,stressor,secondary appraisals,no_relationship,no_relationship,0.6796451562764848
14,A primary appraisal involves judgment about the degree of potential harm or threat to well-being that a stressor might entail.,stressor,potential harm,no_relationship,no_relationship,0.7721644222178045
15,A primary appraisal involves judgment about the degree of potential harm or threat to well-being that a stressor might entail.,stressor,primary appraisal,participant,functional,0.7224565221689863
16,A primary appraisal involves judgment about the degree of potential harm or threat to well-being that a stressor might entail.,stressor,well-being,no_relationship,no_relationship,0.5984766327849591
17,A primary appraisal involves judgment about the degree of potential harm or threat to well-being that a stressor might entail.,potential harm,primary appraisal,no_relationship,no_relationship,0.721488188530482
18,A primary appraisal involves judgment about the degree of potential harm or threat to well-being that a stressor might entail.,potential harm,well-being,no_relationship,no_relationship,0.6294424614893261
19,A primary appraisal involves judgment about the degree of potential harm or threat to well-being that a stressor might entail.,primary appraisal,well-being,no_relationship,no_relationship,0.41999119420004283
20,"The perception of a threat triggers a secondary appraisal: judgment of the options available to cope with a stressor, as well as perceptions of how effective such options will be (Lyon, 2012) (Figure 14.3).",stressor,perceptions,no_relationship,no_relationship,0.7993551826242548
21,"As you may recall from what you learned about self-efficacy, an individual's belief in his ability to complete a task is important (Bandura, 1994).",belief,self-efficacy,component,component,0.8113418749843408
22,"As you may recall from what you learned about self-efficacy, an individual's belief in his ability to complete a task is important (Bandura, 1994).",belief,recall,no_relationship,no_relationship,-0.22261317747339676
23,"As you may recall from what you learned about self-efficacy, an individual's belief in his ability to complete a task is important (Bandura, 1994).",self-efficacy,recall,no_relationship,no_relationship,-0.05958094948696372
24,"Although both view the breast lump as a potential threat (primary appraisal), their secondary appraisals differ considerably.",secondary appraisals,primary appraisal,event_structure,event_structure,0.6971652407791992
25,"Although both view the breast lump as a potential threat (primary appraisal), their secondary appraisals differ considerably.",secondary appraisals,potential threat,participant,functional,0.8033258718095311
26,"Although both view the breast lump as a potential threat (primary appraisal), their secondary appraisals differ considerably.",primary appraisal,potential threat,functional,functional,0.7844039088277863
27,"To be sure, some stressors are inherently more stressful than others in that they are more threatening and leave less potential for variation in cognitive appraisals (e.g., objective threats to one's health or safety).",objective threats,cognitive appraisals,participant,participant,0.7503818629707094
28,"Although stress carries a negative connotation, at times it may be of some benefit.",connotation,stress,no_relationship,no_relationship,0.5705760406209706
29,"He argued that stress can sometimes be a positive, motivating force that can improve the quality of our lives.",motivating force,stress,causal,causal,0.8712666130375957
30,"This kind of stress, which Selye called eustress (from the Greek eu = ""good""), is a good kind of stress associated with positive feelings, optimal health, and performance.",positive feelings,eustress,functional,functional,0.7808907643212253
31,"For example, athletes may be motivated and energized by pregame stress, and students may experience similar beneficial stress before a major exam.",stress,energized,causal,causal,0.6868495482215352
32,"Indeed, research shows that moderate stress can enhance both immediate and delayed recall of educational material.",stress,recall,causal,causal,0.8181074543643039
33,"Male participants in one study who memorized a scientific text passage showed improved memory of the passage immediately after exposure to a mild stressor as well as one day following exposure to the stressor (Hupbach & Fieman, 2012).",stressor,exposure,no_relationship,no_relationship,0.6800599419304854
34,"As shown in Figure 14.4, as stress increases, so do performance and general well-being (eustress); when stress levels reach an optimal level (the highest point of the curve), performance reaches its peak.",stress level,eustress,functional,participant,0.7914967829875612
35,"As shown in Figure 14.4, as stress increases, so do performance and general well-being (eustress); when stress levels reach an optimal level (the highest point of the curve), performance reaches its peak.",stress level,well-being,no_relationship,no_relationship,0.8203129598844473
36,"As shown in Figure 14.4, as stress increases, so do performance and general well-being (eustress); when stress levels reach an optimal level (the highest point of the curve), performance reaches its peak.",eustress,well-being,functional,functional,0.7778721970365613
37,"A person at this stress level is colloquially at the top of his game, meaning he feels fully energized, focused, and can work with minimal effort and maximum efficiency.",stress level,efficiency,functional,functional,0.7694340732412194
38,"A person at this stress level is colloquially at the top of his game, meaning he feels fully energized, focused, and can work with minimal effort and maximum efficiency.",stress level,energized,functional,functional,0.8373515634947003
39,"A person at this stress level is colloquially at the top of his game, meaning he feels fully energized, focused, and can work with minimal effort and maximum efficiency.",efficiency,energized,no_relationship,no_relationship,0.8495183469239658
40,A good example of distress is severe test anxiety.,distress,anxiety,participant,participant,0.670043669214658
41,"When students are feeling very stressed about a test, negative emotions combined with physical symptoms may make concentration difficult, thereby negatively affecting test scores.",negative emotions,symptoms,no_relationship,no_relationship,0.6471344840182377
42,"Stress is an experience that evokes a variety of responses, including those that are physiological (e.g., accelerated heart rate, headaches, or gastrointestinal problems), cognitive (e.g., difficulty concentrating or making decisions), and behavioral (e.g., drinking alcohol, smoking, or taking actions directed at eliminating the cause of the stress).",stress,heart rate,functional,functional,0.8636779214731815
43,"Stress is an experience that evokes a variety of responses, including those that are physiological (e.g., accelerated heart rate, headaches, or gastrointestinal problems), cognitive (e.g., difficulty concentrating or making decisions), and behavioral (e.g., drinking alcohol, smoking, or taking actions directed at eliminating the cause of the stress).",stress,concentrating,causal,causal,0.7671164802912288
44,"Stress is an experience that evokes a variety of responses, including those that are physiological (e.g., accelerated heart rate, headaches, or gastrointestinal problems), cognitive (e.g., difficulty concentrating or making decisions), and behavioral (e.g., drinking alcohol, smoking, or taking actions directed at eliminating the cause of the stress).",heart rate,concentrating,no_relationship,no_relationship,-0.19833983768783858
45,"Although stress can be positive at times, it can have deleterious health implications, contributing to the onset and progression of a variety of physical illnesses and diseases (Cohen & Herbert, 1996).",stress,onset,no_relationship,no_relationship,0.7411408381135797
46,"The scientific study of how stress and other psychological factors impact health falls within the realm of health psychology, a subfield of psychology devoted to understanding the importance of psychological influences on health, illness, and how people respond when they become ill (Taylor, 1999).",stress,psychological influences,causal,causal,0.805144551068661
47,"The scientific study of how stress and other psychological factors impact health falls within the realm of health psychology, a subfield of psychology devoted to understanding the importance of psychological influences on health, illness, and how people respond when they become ill (Taylor, 1999).",stress,health psychology,functional,no_relationship,0.782103703158947
48,"The scientific study of how stress and other psychological factors impact health falls within the realm of health psychology, a subfield of psychology devoted to understanding the importance of psychological influences on health, illness, and how people respond when they become ill (Taylor, 1999).",psychological influences,health psychology,no_relationship,no_relationship,0.8688847598327804
49,"Health psychology emerged as a discipline in the 1970s, a time during which there was increasing awareness of the role behavioral and lifestyle factors play in the development of illnesses and diseases (Straub, 2007).",lifestyle factors,health psychology,no_relationship,no_relationship,0.7269438106760039
50,"Health psychology emerged as a discipline in the 1970s, a time during which there was increasing awareness of the role behavioral and lifestyle factors play in the development of illnesses and diseases (Straub, 2007).",lifestyle factors,awareness,no_relationship,no_relationship,0.4648284811035153
51,"Health psychology emerged as a discipline in the 1970s, a time during which there was increasing awareness of the role behavioral and lifestyle factors play in the development of illnesses and diseases (Straub, 2007).",lifestyle factors,development,causal,causal,0.7223285664273127
52,"Health psychology emerged as a discipline in the 1970s, a time during which there was increasing awareness of the role behavioral and lifestyle factors play in the development of illnesses and diseases (Straub, 2007).",health psychology,awareness,no_relationship,no_relationship,0.5622503855239659
53,"Health psychology emerged as a discipline in the 1970s, a time during which there was increasing awareness of the role behavioral and lifestyle factors play in the development of illnesses and diseases (Straub, 2007).",health psychology,development,no_relationship,no_relationship,0.46885578351700347
54,"Health psychology emerged as a discipline in the 1970s, a time during which there was increasing awareness of the role behavioral and lifestyle factors play in the development of illnesses and diseases (Straub, 2007).",awareness,development,no_relationship,no_relationship,0.46506756966991813
55,"For example, measuring differences in stress levels among demographic groups and how these levels change over time can help identify populations who may have an increased risk for illness or disease.",stress level,disease,no_relationship,no_relationship,0.8192075366870879
56,"For example, measuring differences in stress levels among demographic groups and how these levels change over time can help identify populations who may have an increased risk for illness or disease.",stress level,demographic groups,no_relationship,no_relationship,0.8338791488605946
57,"For example, measuring differences in stress levels among demographic groups and how these levels change over time can help identify populations who may have an increased risk for illness or disease.",stress level,populations,no_relationship,no_relationship,0.7039887170606014
58,"For example, measuring differences in stress levels among demographic groups and how these levels change over time can help identify populations who may have an increased risk for illness or disease.",disease,demographic groups,no_relationship,no_relationship,0.6742893429418129
59,"For example, measuring differences in stress levels among demographic groups and how these levels change over time can help identify populations who may have an increased risk for illness or disease.",disease,populations,no_relationship,no_relationship,0.7547069844087675
60,"For example, measuring differences in stress levels among demographic groups and how these levels change over time can help identify populations who may have an increased risk for illness or disease.",demographic groups,populations,taxonomy,taxonomy,0.9342348537190578
61,"Figure 14.6 depicts the results of three national surveys in which several thousand individuals from different demographic groups completed a brief stress questionnaire; the surveys were administered in 1983, 2006, and 2009 (Cohen & Janicki-Deverts, 2012).",stress,demographic groups,no_relationship,no_relationship,0.2650816439779989
62,"In the early part of the 20th century, Cannon was the first to identify the body's physiological reactions to stress.",physiological reactions,stress,causal,causal,0.3516792563975283
63,"Prompted by a deluge of epinephrine (adrenaline) and norepinephrine (noradrenaline) from your adrenal glands, your pupils begin to dilate.",noradrenaline,adrenal glands,component,component,0.6860789986782755
64,"Prompted by a deluge of epinephrine (adrenaline) and norepinephrine (noradrenaline) from your adrenal glands, your pupils begin to dilate.",noradrenaline,norepinephrine,component,taxonomy,0.9353363888531694
65,"Prompted by a deluge of epinephrine (adrenaline) and norepinephrine (noradrenaline) from your adrenal glands, your pupils begin to dilate.",noradrenaline,pupils,no_relationship,no_relationship,0.08292694902885962
66,"Prompted by a deluge of epinephrine (adrenaline) and norepinephrine (noradrenaline) from your adrenal glands, your pupils begin to dilate.",noradrenaline,dilate,functional,functional,0.8134082400954947
67,"Prompted by a deluge of epinephrine (adrenaline) and norepinephrine (noradrenaline) from your adrenal glands, your pupils begin to dilate.",adrenal glands,norepinephrine,component,component,0.6782977810141715
68,"Prompted by a deluge of epinephrine (adrenaline) and norepinephrine (noradrenaline) from your adrenal glands, your pupils begin to dilate.",adrenal glands,pupils,no_relationship,no_relationship,0.1097809793742821
69,"Prompted by a deluge of epinephrine (adrenaline) and norepinephrine (noradrenaline) from your adrenal glands, your pupils begin to dilate.",adrenal glands,dilate,no_relationship,no_relationship,0.7454102384728855
70,"Prompted by a deluge of epinephrine (adrenaline) and norepinephrine (noradrenaline) from your adrenal glands, your pupils begin to dilate.",norepinephrine,pupils,no_relationship,no_relationship,0.14595018503205245
71,"Prompted by a deluge of epinephrine (adrenaline) and norepinephrine (noradrenaline) from your adrenal glands, your pupils begin to dilate.",norepinephrine,dilate,functional,functional,0.7892361990788651
72,"Prompted by a deluge of epinephrine (adrenaline) and norepinephrine (noradrenaline) from your adrenal glands, your pupils begin to dilate.",pupils,dilate,functional,functional,0.8200054628483392
73,"During the fight-or-flight response, the body is rapidly aroused by activation of both the sympathetic nervous system and the endocrine system (Figure 14.8).",endocrine system,sympathetic nervous system,no_relationship,no_relationship,0.6798925003225716
74,"According to Cannon, the fight-or-flight response is a built-in mechanism that assists in maintaining homeostasis - an internal environment in which physiological variables such as blood pressure, respiration, digestion, and temperature are stabilized at levels optimal for survival.",respiration,internal environment,no_relationship,no_relationship,0.6642508878961901
75,"According to Cannon, the fight-or-flight response is a built-in mechanism that assists in maintaining homeostasis - an internal environment in which physiological variables such as blood pressure, respiration, digestion, and temperature are stabilized at levels optimal for survival.",respiration,homeostasis,causal,causal,0.8370355305825892
76,"According to Cannon, the fight-or-flight response is a built-in mechanism that assists in maintaining homeostasis - an internal environment in which physiological variables such as blood pressure, respiration, digestion, and temperature are stabilized at levels optimal for survival.",internal environment,homeostasis,no_relationship,no_relationship,0.6001708416093059
77,"Although he was unable to find an answer for what he was initially researching, he incidentally discovered that when exposed to prolonged negative stimulation (stressors) - such as extreme cold, surgical injury, excessive muscular exercise, and shock - the rats showed signs of adrenal enlargement, thymus and lymph node shrinkage, and stomach ulceration.",thymus,lymph node shrinkage,no_relationship,no_relationship,0.3381013976944696
78,Selye realized that these responses were triggered by a coordinated series of physiological reactions that unfold over time during continued exposure to a stressor.,stressor,exposure,participant,participant,0.8674495845502266
79,Selye realized that these responses were triggered by a coordinated series of physiological reactions that unfold over time during continued exposure to a stressor.,stressor,physiological reactions,functional,functional,0.2950890008018505
80,Selye realized that these responses were triggered by a coordinated series of physiological reactions that unfold over time during continued exposure to a stressor.,stressor,series,no_relationship,no_relationship,0.24538564375720545
81,Selye realized that these responses were triggered by a coordinated series of physiological reactions that unfold over time during continued exposure to a stressor.,exposure,physiological reactions,causal,causal,0.7394496279656113
82,Selye realized that these responses were triggered by a coordinated series of physiological reactions that unfold over time during continued exposure to a stressor.,exposure,series,no_relationship,no_relationship,-0.2886002631894405
83,Selye realized that these responses were triggered by a coordinated series of physiological reactions that unfold over time during continued exposure to a stressor.,physiological reactions,series,no_relationship,no_relationship,0.2706476452465656
84,"These physiological reactions were nonspecific, which means that regardless of the type of stressor, the same pattern of reactions would occur.",stressor,physiological reactions,functional,functional,0.6534124161614037
85,"What Selye discovered was the general adaptation syndrome, the body's nonspecific physiological response to stress.",stress,general adaptation syndrome,causal,causal,-0.11766620108961216
86,"The general adaptation syndrome, shown in Figure 14.10, consists of three stages: (1) alarm reaction, (2) stage of resistance, and (3) stage of exhaustion (Selye, 1936; 1976).",exhaustion,resistance,functional,no_relationship,0.6019622071915802
87,"The general adaptation syndrome, shown in Figure 14.10, consists of three stages: (1) alarm reaction, (2) stage of resistance, and (3) stage of exhaustion (Selye, 1936; 1976).",exhaustion,general adaptation syndrome,participant,participant,0.7770009885631838
