task_id,sentence,term_1,term_2,family_mode,family_out,difficulty
0,The cell cycle is an ordered series of events involving cell growth and cell division that produces two new daughter cells.,cell cycle,cell division,event_structure,event_structure,0.1472451098154649
1,The cell cycle is an ordered series of events involving cell growth and cell division that produces two new daughter cells.,cell cycle,cell growth,event_structure,event_structure,-0.12767455508598904
2,The cell cycle is an ordered series of events involving cell growth and cell division that produces two new daughter cells.,cell cycle,daughter cells,participant,participant,0.08073481063837995
3,The cell cycle is an ordered series of events involving cell growth and cell division that produces two new daughter cells.,cell division,cell growth,event_structure,event_structure,0.21748902800126743
4,The cell cycle is an ordered series of events involving cell growth and cell division that produces two new daughter cells.,cell division,daughter cells,no_relationship,no_relationship,0.4465885080514004
5,The cell cycle is an ordered series of events involving cell growth and cell division that produces two new daughter cells.,cell growth,daughter cells,participant,participant,0.2310730520443415
6,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",cell division,dna replication,no_relationship,no_relationship,-0.10270645428864175
7,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",cell division,cytoplasmic division,event_structure,event_structure,0.1361225580845319
8,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",cell division,nuclear,event_structure,event_structure,0.06236759178629697
9,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",cell division,growth,event_structure,event_structure,0.574772876899899
10,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",cell division,cells,participant,participant,0.12651889652958428
11,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",dna replication,cytoplasmic division,no_relationship,no_relationship,-0.48443664055976227
12,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",dna replication,nuclear,no_relationship,no_relationship,0.2509827900884769
13,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",dna replication,growth,no_relationship,no_relationship,0.15678547947540789
14,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",dna replication,cells,no_relationship,no_relationship,-0.11893011149580722
15,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",cytoplasmic division,nuclear,event_structure,event_structure,-0.0021068288341890107
16,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",cytoplasmic division,growth,event_structure,event_structure,0.2708414309606952
