task_id,sentence,term_1,term_2,family_mode,family_out,difficulty
0,The cell cycle is an ordered series of events involving cell growth and cell division that produces two new daughter cells.,cell cycle,cell division,event_structure,event_structure,0.22737005700243465
1,The cell cycle is an ordered series of events involving cell growth and cell division that produces two new daughter cells.,cell cycle,cell growth,event_structure,event_structure,0.06361597069445937
2,The cell cycle is an ordered series of events involving cell growth and cell division that produces two new daughter cells.,cell cycle,daughter cells,participant,participant,0.328891325005788
3,The cell cycle is an ordered series of events involving cell growth and cell division that produces two new daughter cells.,cell division,cell growth,event_structure,event_structure,0.28510499843990966
4,The cell cycle is an ordered series of events involving cell growth and cell division that produces two new daughter cells.,cell division,daughter cells,no_relationship,no_relationship,0.439043009316362
5,The cell cycle is an ordered series of events involving cell growth and cell division that produces two new daughter cells.,cell growth,daughter cells,participant,participant,0.297777359194908
6,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",cell division,dna replication,no_relationship,no_relationship,0.08911551353045252
7,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",cell division,cytoplasmic division,event_structure,event_structure,0.2605802522253107
8,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",cell division,nuclear,event_structure,event_structure,0.2552890151940174
9,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",cell division,growth,event_structure,event_structure,0.38678175766055156
10,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",cell division,cells,participant,participant,0.18362974552787348
11,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",dna replication,cytoplasmic division,no_relationship,no_relationship,-0.2775620891520472
12,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",dna replication,nuclear,no_relationship,no_relationship,0.23928520599739062
13,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",dna replication,growth,no_relationship,no_relationship,0.2916285871780865
14,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",dna replication,cells,no_relationship,no_relationship,0.3318600672317508
15,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",cytoplasmic division,nuclear,event_structure,event_structure,0.16625369644306945
16,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",cytoplasmic division,growth,event_structure,event_structure,0.37196488795365584
17,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",cytoplasmic division,cells,no_relationship,participant,0.4701813247654057
18,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",nuclear,growth,event_structure,event_structure,0.3864793529051179
19,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",nuclear,cells,participant,participant,0.2940478739600744
20,"Cells on the path to cell division proceed through a series of precisely timed and carefully regulated stages of growth, DNA replication, and nuclear and cytoplasmic division that ultimately produces two identical (clone) cells.",growth,cells,functional,participant,0.3460702346975693
21,The cell cycle has two major phases: interphase and the mitotic phase (Figure ).,interphase,cell cycle,event_structure,event_structure,-0.09488618911852616
22,The cell cycle has two major phases: interphase and the mitotic phase (Figure ).,interphase,mitotic phase,event_structure,event_structure,-0.6142069082795462
23,The cell cycle has two major phases: interphase and the mitotic phase (Figure ).,cell cycle,mitotic phase,event_structure,event_structure,-0.5756402743167838
24,"During interphase, the cell grows and DNA is replicated.",interphase,cell,component,component,0.3256767124484752
25,"During interphase, the cell grows and DNA is replicated.",interphase,replicated,functional,participant,0.34729355921465116
26,"During interphase, the cell grows and DNA is replicated.",interphase,dna,participant,participant,0.4821963337668788
27,"During interphase, the cell grows and DNA is replicated.",cell,replicated,no_relationship,no_relationship,0.3213150623419153
28,"During interphase, the cell grows and DNA is replicated.",cell,dna,participant,participant,0.40908036534265474
29,"During interphase, the cell grows and DNA is replicated.",replicated,dna,no_relationship,no_relationship,0.39825931871775466
30,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",cell cycle,cytokinesis,no_relationship,no_relationship,0.35277293710169183
31,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",cell cycle,replicated,no_relationship,no_relationship,0.6023235184338173
32,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",cell cycle,mitotic phase,event_structure,event_structure,0.23276888063410053
33,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",cell cycle,cytoplasmic contents,participant,participant,0.4395986080873002
34,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",cell cycle,dna,participant,participant,0.3574073842051258
35,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",cell cycle,cell cytoplasm,event_structure,event_structure,0.3634061888454619
36,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",cytokinesis,replicated,no_relationship,no_relationship,-0.3715406327415079
37,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",cytokinesis,mitotic phase,no_relationship,no_relationship,0.4966679668412701
38,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",cytokinesis,cytoplasmic contents,participant,participant,0.5683727920106382
39,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",cytokinesis,dna,no_relationship,no_relationship,0.2668860760073487
40,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",cytokinesis,cell cytoplasm,no_relationship,no_relationship,0.38233888492443646
41,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",replicated,mitotic phase,participant,participant,0.6105790293767429
42,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",replicated,cytoplasmic contents,spatial,spatial,0.5147342987415243
43,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",replicated,dna,component,component,0.4121405794156038
44,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",replicated,cell cytoplasm,participant,participant,0.5515675344826906
45,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",mitotic phase,cytoplasmic contents,participant,participant,0.42353734926287034
46,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",mitotic phase,dna,participant,participant,0.49952337953970244
47,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",mitotic phase,cell cytoplasm,event_structure,event_structure,-0.06283060820353456
48,"During the mitotic phase, the replicated DNA and cytoplasmic contents are separated, and the cell cytoplasm is typically partitioned by a third process of the cell cycle called cytokinesis.",cytoplasmic contents,dna,spatial,spatial,0.5662742096446303
