,N,T,family_acc,relationship_acc
0,2,1,0.765,0.58
0,2,2,0.64,0.595
0,2,3,0.74,0.61
0,2,4,0.78,0.635
0,2,5,0.715,0.585
0,2,6,0.675,0.515
0,2,7,0.695,0.64
0,2,8,0.705,0.61
0,2,9,0.715,0.57
0,2,10,0.73,0.59
0,2,11,0.715,0.585
0,2,12,0.755,0.62
0,2,13,0.71,0.52
0,2,14,0.735,0.595
0,2,15,0.72,0.595
0,2,16,0.74,0.595
0,2,17,0.71,0.595
0,2,18,0.72,0.605
0,2,19,0.71,0.61
0,4,1,0.77,0.755
0,4,2,0.765,0.74
0,4,3,0.76,0.785
0,4,4,0.81,0.77
0,4,5,0.81,0.76
0,4,6,0.82,0.755
0,4,7,0.78,0.77
0,4,8,0.765,0.745
0,4,9,0.815,0.765
0,4,10,0.81,0.76
0,4,11,0.8,0.78
0,4,12,0.79,0.765
0,4,13,0.745,0.74
0,4,14,0.79,0.795
0,4,15,0.74,0.705
0,4,16,0.795,0.72
0,4,17,0.77,0.79
0,4,18,0.815,0.805
0,4,19,0.835,0.77
0,6,1,0.88,0.845
0,6,2,0.845,0.825
0,6,3,0.785,0.82
0,6,4,0.825,0.8
0,6,5,0.81,0.82
0,6,6,0.825,0.825
0,6,7,0.805,0.785
0,6,8,0.81,0.82
0,6,9,0.845,0.825
0,6,10,0.845,0.835
0,6,11,0.865,0.795
0,6,12,0.835,0.815
0,6,13,0.825,0.835
0,6,14,0.835,0.84
0,6,15,0.845,0.785
0,6,16,0.785,0.8
0,6,17,0.835,0.815
0,6,18,0.82,0.82
0,6,19,0.81,0.82
0,8,1,0.845,0.845
0,8,2,0.85,0.84
0,8,3,0.815,0.855
0,8,4,0.885,0.845
0,8,5,0.865,0.89
0,8,6,0.855,0.815
0,8,7,0.875,0.85
0,8,8,0.885,0.86
0,8,9,0.835,0.86
0,8,10,0.835,0.85
0,8,11,0.875,0.855
0,8,12,0.895,0.87
0,8,13,0.845,0.86
0,8,14,0.835,0.835
0,8,15,0.83,0.82
0,8,16,0.8,0.82
0,8,17,0.865,0.845
0,8,18,0.85,0.84
0,8,19,0.825,0.78
0,10,1,0.89,0.86
0,10,2,0.87,0.85
0,10,3,0.865,0.84
0,10,4,0.88,0.855
0,10,5,0.855,0.87
0,10,6,0.845,0.845
0,10,7,0.86,0.875
0,10,8,0.86,0.87
0,10,9,0.86,0.86
0,10,10,0.885,0.895
0,10,11,0.825,0.835
0,10,12,0.845,0.865
0,10,13,0.885,0.92
0,10,14,0.86,0.89
0,10,15,0.84,0.85
0,10,16,0.875,0.875
0,10,17,0.885,0.88
0,10,18,0.86,0.83
0,10,19,0.845,0.87
0,12,1,0.895,0.88
0,12,2,0.855,0.875
0,12,3,0.89,0.86
0,12,4,0.885,0.885
0,12,5,0.885,0.87
0,12,6,0.895,0.925
0,12,7,0.87,0.88
0,12,8,0.85,0.9
0,12,9,0.895,0.91
0,12,10,0.895,0.875
0,12,11,0.91,0.89
0,12,12,0.86,0.83
0,12,13,0.885,0.88
0,12,14,0.855,0.875
0,12,15,0.895,0.88
0,12,16,0.885,0.895
0,12,17,0.895,0.91
0,12,18,0.885,0.895
0,12,19,0.895,0.89
0,14,1,0.905,0.88
0,14,2,0.91,0.885
0,14,3,0.87,0.895
0,14,4,0.925,0.875
0,14,5,0.88,0.885
0,14,6,0.865,0.875
0,14,7,0.875,0.915
0,14,8,0.915,0.905
0,14,9,0.93,0.9
0,14,10,0.88,0.9
0,14,11,0.91,0.915
0,14,12,0.85,0.855
0,14,13,0.875,0.905
0,14,14,0.915,0.89
0,14,15,0.88,0.91
0,14,16,0.87,0.905
0,14,17,0.92,0.905
0,14,18,0.89,0.885
0,14,19,0.9,0.89
0,16,1,0.925,0.9
0,16,2,0.905,0.895
0,16,3,0.895,0.895
0,16,4,0.88,0.91
0,16,5,0.875,0.9
0,16,6,0.88,0.88
0,16,7,0.875,0.91
0,16,8,0.905,0.9
0,16,9,0.88,0.89
0,16,10,0.91,0.905
0,16,11,0.905,0.9
0,16,12,0.86,0.9
0,16,13,0.88,0.875
0,16,14,0.84,0.895
0,16,15,0.895,0.895
0,16,16,0.91,0.905
0,16,17,0.88,0.915
0,16,18,0.895,0.86
0,16,19,0.92,0.9
0,18,1,0.925,0.925
0,18,2,0.885,0.91
0,18,3,0.915,0.915
0,18,4,0.9,0.93
0,18,5,0.905,0.89
0,18,6,0.93,0.93
0,18,7,0.875,0.905
0,18,8,0.895,0.915
0,18,9,0.905,0.935
0,18,10,0.91,0.925
0,18,11,0.905,0.885
0,18,12,0.915,0.925
0,18,13,0.93,0.925
0,18,14,0.905,0.925
0,18,15,0.93,0.925
0,18,16,0.915,0.91
0,18,17,0.9,0.905
0,18,18,0.905,0.915
0,18,19,0.91,0.905
0,20,1,0.92,0.95
0,20,2,0.93,0.905
0,20,3,0.935,0.91
0,20,4,0.905,0.92
0,20,5,0.915,0.92
0,20,6,0.915,0.94
0,20,7,0.94,0.935
0,20,8,0.91,0.905
0,20,9,0.915,0.93
0,20,10,0.945,0.93
0,20,11,0.915,0.915
0,20,12,0.905,0.92
0,20,13,0.925,0.93
0,20,14,0.945,0.915
0,20,15,0.89,0.915
0,20,16,0.92,0.915
0,20,17,0.88,0.895
0,20,18,0.925,0.93
0,20,19,0.92,0.915
