,paragraph_idx,url,sentence,section_title,sentence_id,chapter,section
0,1,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"The term stress as it relates to the human condition first emerged in scientific literature in the 1930s, but it did not enter the popular vernacular until the 1970s (Lyon, 2012).",what-is-stress#67444,1,14,1
1,1,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"Today, we often use the term loosely in describing a variety of unpleasant feeling states; for example, we often say we are stressed out when we feel frustrated, angry, conflicted, overwhelmed, or fatigued.",what-is-stress#67444,2,14,1
2,1,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"Despite the widespread use of the term, stress is a fairly vague concept that is difficult to define with precision.",what-is-stress#67444,3,14,1
3,2,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,Researchers have had a difficult time agreeing on an acceptable definition of stress.,what-is-stress#67444,4,14,1
4,2,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"Some have conceptualized stress as a demanding or threatening event or situation (e.g., a high-stress job, overcrowding, and long commutes to work).",what-is-stress#67444,5,14,1
5,2,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,Such conceptualizations are known as stimulus-based definitions because they characterize stress as a stimulus that causes certain reactions.,what-is-stress#67444,6,14,1
6,2,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"Stimulus-based definitions of stress are problematic, however, because they fail to recognize that people differ in how they view and react to challenging life events and situations.",what-is-stress#67444,7,14,1
7,2,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"For example, a conscientious student who has studied diligently all semester would likely experience less stress during final exams week than would a less responsible, unprepared student.",what-is-stress#67444,8,14,1
8,3,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"Others have conceptualized stress in ways that emphasize the physiological responses that occur when faced with demanding or threatening situations (e.g., increased arousal).",what-is-stress#67444,9,14,1
9,3,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,These conceptualizations are referred to as response-based definitions because they describe stress as a response to environmental conditions.,what-is-stress#67444,10,14,1
10,3,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"For example, the endocrinologist Hans Selye, a famous stress researcher, once defined stress as the ""response of the body to any demand, whether it is caused by, or results in, pleasant or unpleasant conditions"" (Selye, 1976, p. 74).",what-is-stress#67444,11,14,1
11,3,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,Selye's definition of stress is response-based in that it conceptualizes stress chiefly in terms of the body's physiological reaction to any demand that is placed on it.,what-is-stress#67444,12,14,1
12,3,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,Neither stimulus-based nor response-based definitions provide a complete definition of stress.,what-is-stress#67444,13,14,1
13,3,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"Many of the physiological reactions that occur when faced with demanding situations (e.g., accelerated heart rate) can also occur in response to things that most people would not consider to be genuinely stressful, such as receiving unanticipated good news: an unexpected promotion or raise.",what-is-stress#67444,14,14,1
14,4,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"A useful way to conceptualize stress is to view it as a process whereby an individual perceives and responds to events that he appraises as overwhelming or threatening to his well-being (Lazarus & Folkman, 1984).",what-is-stress#67444,15,14,1
15,4,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"A critical element of this definition is that it emphasizes the importance of how we appraise - that is, judge - demanding or threatening events (often referred to as stressors); these appraisals, in turn, influence our reactions to such events.",what-is-stress#67444,16,14,1
16,4,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,Two kinds of appraisals of a stressor are especially important in this regard: primary and secondary appraisals.,what-is-stress#67444,17,14,1
17,4,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,A primary appraisal involves judgment about the degree of potential harm or threat to well-being that a stressor might entail.,what-is-stress#67444,18,14,1
18,4,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"A stressor would likely be appraised as a threat if one anticipates that it could lead to some kind of harm, loss, or other negative consequence; conversely, a stressor would likely be appraised as a challenge if one believes that it carries the potential for gain or personal growth.",what-is-stress#67444,19,14,1
19,4,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"For example, an employee who is promoted to a leadership position would likely perceive the promotion as a much greater threat if she believed the promotion would lead to excessive work demands than if she viewed it as an opportunity to gain new skills and grow professionally.",what-is-stress#67444,20,14,1
20,4,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"Similarly, a college student on the cusp of graduation may face the change as a threat or a challenge (Figure 14.2).",what-is-stress#67444,21,14,1
21,5,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"The perception of a threat triggers a secondary appraisal: judgment of the options available to cope with a stressor, as well as perceptions of how effective such options will be (Lyon, 2012) (Figure 14.3).",what-is-stress#67444,22,14,1
22,5,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"As you may recall from what you learned about self-efficacy, an individual's belief in his ability to complete a task is important (Bandura, 1994).",what-is-stress#67444,23,14,1
23,5,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"A threat tends to be viewed as less catastrophic if one believes something can be done about it (Lazarus & Folkman, 1984).",what-is-stress#67444,24,14,1
24,5,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"Imagine that two middle-aged people Robin and Madhuri, perform breast self-examinations one morning and each notices a lump on the lower region of their left breast.",what-is-stress#67444,25,14,1
25,5,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"Although both view the breast lump as a potential threat (primary appraisal), their secondary appraisals differ considerably.",what-is-stress#67444,26,14,1
26,5,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"In considering the breast lump, some of the thoughts racing through Robin's mind are, ""Oh my God, I could have breast cancer!",what-is-stress#67444,27,14,1
27,5,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,What if the cancer has spread to the rest of my body and I cannot recover?,what-is-stress#67444,28,14,1
28,5,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,What if I have to go through chemotherapy?,what-is-stress#67444,29,14,1
29,5,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,I've heard that experience is awful!,what-is-stress#67444,30,14,1
30,5,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,What if I have to quit my job?,what-is-stress#67444,31,14,1
31,5,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,My partner and I won't have enough money to pay the mortgage.,what-is-stress#67444,32,14,1
32,5,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"Oh, this is just horrible...I can't deal with it!""",what-is-stress#67444,33,14,1
33,5,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"On the other hand, Madhuri thinks, ""Hmm, this may not be good.",what-is-stress#67444,34,14,1
34,5,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"Although most times these things turn out to be benign, I need to have it checked out.",what-is-stress#67444,35,14,1
35,5,https://openstax.org/books/psychology-2e/pages/14-1-what-is-stress#67444,"If it turns out to be breast cancer, there are doctors who can take care of it because the medical technology today is quite advanced.",what-is-stress#67444,36,14,1
