term,type,base_term
celled,entity,cell
cells,entity,cell
cell,entity,cell
Archaea,entity,Archaea
prokaryotes,entity,prokaryote
prokaryotic,entity,prokaryotic cell
eukaryotic,entity,eukaryotic cell
prokaryote,entity,prokaryote
nucleus,entity,nucleus
protists,entity,protist
eukaryotes,entity,eukaryote
eukaryote,entity,eukaryote
pili,entity,pili
plasma membrane,entity,plasma membrane
cytoplasm,entity,cytoplasm
cytosol,entity,cytosol
DNA,entity,dna
ribosomes,entity,ribosome
eukaryotic cells,entity,eukaryotic cell
membrane,entity,membrane
organelle,entity,organelle
organelles,entity,organelle
Prokaryotic DNA,entity,prokaryotic dna
nucleoid,entity,nucleoid
peptidoglycan cell wall,entity,peptidoglycan cell wall
polysaccharide capsule,entity,polysaccharide capsule
dehydration,event,dehydration
capsule,entity,capsule
flagella,entity,flagella
fimbriae,entity,fimbriae
locomotion,entity,locomotion
conjugation,event,conjugation
contact,event,contact
host cell,entity,host cell
contagious,entity,contagious
microbes,entity,microbe
microscopes,entity,microscope
mucus,entity,mucus
body,entity,body
microorganisms,entity,microorganism
microogranism,entity,microorganism
vitamin k,entity,vitamin k
microbiologists,entity,microbiologist
development,event,development
bacterial infections,entity,bacterial infection
hazardous elements,entity,hazardous element
microbes bioremediation,event,microbe bioremediation
specificity,entity,specificity
bacterial,entity,bacterial
prokaryotic cells,entity,Prokaryotic cell
prokaryotic cell,entity,Prokaryotic cell
organic molecules,entity,organic molecule
intracellular transport,entity,intracellular transport
volume,entity,volume
cell membrane,entity,cell membrane
bacteria,entity,bacteria
organisms,entity,organism
organism,entity,organism
small,entity,small
smaller,entity,smaller
logarithmic,entity,logarithmic
unit,entity,unit
ions,entity,ion
ion,entity,ion
diffuse,event,diffuse
wastes,entity,waste
waste,entity,waste
area,entity,area
sphere,entity,sphere
radius,entity,radius
surface area,entity,surface area
divide,event,divide
efficient,entity,efficient
task,entity,task
tasks,entity,task
