term,base_term,type
cell,cell,entity
cells,cell,entity
celled,cell,entity
unit,unit,entity
living,living,event
bacteria,bacteria,entity
human,human,entity
humans,human,entity
basic,basic,entity
organisms,organisms,entity
function form tissues,function form tissue,entity
tissues,tissue,entity
tissue,tissue,entity
form,form,entity
formed,form,entity
forms,form,entity
organ,organ,entity
organs,organ,entity
heart,heart,entity
organ system,organ system,entity
digestive system,digestive system,entity
circulatory system,circulatory system,entity
nervous system,nervous system,entity
systems,system,entity
function,function,entity
functions,function,entity
structure,structure,entity
structures,structure,entity
group,group,entity
grouped,group,entity
prokaryotic,Prokaryotic,entity
eukaryotic,eukaryotic,entity
animal,animal,entity
animals,animal,entity
plant cells,plant cell,entity
plant cell,plant cell,entity
eukaryotic cells,eukaryotic cell,entity
eukaryotic cell,eukaryotic cell,entity
bacterial cells,bacterial cell,entity
study,study,entity
studying,study,entity
studies,study,entity
microscopes,microscope,entity
microscope,microscope,entity
small,small,entity
magnifies,magnify,event
magnify,magnify,event
micrographs,micrograph,entity
micrograph,micrograph,entity
optics,optic,entity
lenses,lense,entity
change,change,entity
changes,change,entity
changing,change,entity
side,side,entity
facing,face,entity
face,face,entity
faces,face,entity
light,light,entity
lens system,lens system,entity
binocular,binocular,entity
dissecting,dissect,event
work,work,entity
works,work,entity
working,work,entity
magnification system,magnification system,entity
sense,sense,entity
human red blood cell,human red blood cell,entity
micrometers,micrometer,entity
pin head,pin head,entity
red blood cells,red blood cell,entity
student microscopes,student microscope,entity
light microscopes,light microscope,entity
light microscope,light microscope,entity
living organisms,living organisms,entity
special stains,special stain,entity
undergraduates,undergraduate,entity
microscopy,microscopy,entity
magnification,magnification,event
power,power,entity
powers,power,entity
resolution,resolution,entity
order,order,entity
orders,order,entity
cellular structure,cellular structure,entity
cellular structures,cellular structure,entity
electron microscopes,electron microscope,entity
electron microscope,electron microscope,entity
binocular lenses,binocular lense,entity
objective lenses,objective lense,entity
stage,stage,entity
objective lens,objective lens,entity
carried,carry,event
carry,carry,event
carries,carry,event
carrying,carry,event
center,center,entity
biology,biology,entity
nanometers,nanometer,entity
picometers,picometer,entity
credit,credit,entity
modification,modification,event
modifications,modification,event
electron,electron,entity
electrons,electron,entity
contrast,contrast,entity
beam,beam,entity
photons,photon,entity
scanning electron microscope,scanning electron microscope,entity
surface,surface,entity
surfaces,surface,entity
cell surface,cell surface,entity
transmission electron microscope,transmission electron microscope,entity
electron beam,electron beam,entity
internal structures,internal structure,entity
salmonella,Salmonella,entity
scanning electron micrograph,scanning electron micrograph,entity
human cells,human cell,entity
complex,complex,entity
salmonella bacteria,Salmonella bacteria,entity
scanning electron microscope micrograph,scanning electron microscope micrograph,entity
red,red,entity
cdc,CDC,entity
forces,force,entity
force,force,entity
niaid,niaid,entity
scale-bar,scale-bar,entity
link,LINK,entity
movements,movement,event
movement,movement,event
single,single,entity
animalcules,animalcule,entity
cork tissue,cork tissue,entity
lens,lens,entity
protozoa,protozoa,entity
staining,stain,entity
stains,stain,entity
cell theory,cell theory,entity
basic unit,basic unit,entity
life,life,entity
lives,life,entity
theory,theory,entity
career,career,entity
careers,career,entity
test,test,entity
tests,test,entity
smear,smear,entity
uterine cervix,uterine cervix,entity
cytotechnologist,cytotechnologist,entity
cervical,cervical,entity
microbial infection,microbial infection,entity
cyto,cyto,entity
examinations,examination,entity
examination,examination,entity
cellular changes,cellular change,entity
normal limits,normal limit,entity
focus,focus,entity
limited,limit,entity
cervical cells,cervical cell,entity
cellular,cellular,entity
disease,disease,entity
diseases,disease,entity
body tissue,body tissue,entity
cause,cause,event
causes,cause,event
causing,cause,event
vital,vital,entity
normal cells,normal cell,entity
infected,infect,event
hpv,hpv,entity
nucleus,nucleus,entity
uninfected cells,uninfected cell,entity
uterine cervix cells,uterine cervix cell,entity
human papillomavirus,human papillomavirus,entity
normal number,normal number,entity
section,section,entity
sections,section,entity
following,follow,event
follows,follow,event
follow,follow,event
organisms bacteria,organisms bacteria,entity
archaea,Archaea,entity
prokaryotes,prokaryote,entity
prokaryote,prokaryote,entity
animal cells,animal cell,entity
animal cell,animal cell,entity
animals cells,animal cell,entity
plants,plant,entity
plant,plant,entity
protists,protist,entity
eukaryotes,eukaryote,entity
true,true,entity
plasma membrane,plasma membrane,entity
plasma membranes,plasma membrane,entity
outer,outer,entity
cytoplasm,cytoplasm,entity
cytosol,cytosol,entity
dna,dna,entity
genetic,genetic,entity
ribosomes,Ribosomes,entity
proteins,protein,entity
protein,protein,entity
membrane-bound organelle,membrane-bound organelle,entity
prokaryotic dna,Prokaryotic dna,entity
central,central,entity
nucleoid,nucleoid,entity
prokaryotic cell,Prokaryotic cell,entity
prokaryotic cells,Prokaryotic cell,entity
circular chromosome,circular chromosome,entity
concentrated,concentrate,event
region,region,entity
capsule,capsule,entity
flagellum,flagellum,entity
small protrusions,small protrusion,entity
project,project,entity
generalized,generalize,event
chromosomal dna,chromosomal dna,entity
cell membrane,cell membrane,entity
cell membranes,cell membrane,entity
peptidoglycan cell,peptidoglycan cell,entity
polysaccharide capsule,polysaccharide capsule,entity
dehydration,dehydration,event
flagella,flagella,entity
fimbriae,fimbriae,entity
locomotion,locomotion,entity
conjugation,conjugation,event
contact,contact,entity
host cell,host cell,entity
host cells,host cell,entity
contagious,contagious,entity
microbes,microbe,entity
doorknobs,doorknob,entity
doorknob,doorknob,entity
sneezer,sneezer,entity
mucus,mucus,entity
body,body,entity
bodies,body,entity
microorganisms,microorganism,entity
vitamin,vitamin,entity
microbiologists,microbiologist,entity
number,number,entity
development,development,event
bacterial infections,bacterial infection,entity
hazardous elements,hazardous element,entity
microbes bioremediation,microbe bioremediation,event
specificity,specificity,entity
models,model,entity
bacterial,bacterial,entity
ions,ion,entity
organic molecules,organic molecule,entity
structural,structural,entity
intracellular transport,intracellular transport,entity
logarithmic scale,logarithmic scale,entity
atom,atom,entity
atoms,atom,entity
lipids,lipid,entity
molecules,molecule,entity
molecule,molecule,entity
mitochondria,mitochondria,entity
greek,greek,entity
ostrich,ostrich,entity
volume,volume,entity
divide,divide,event
divides,divide,event
organelles,organelle,entity
organelle,organelle,entity
visual,visual,entity
small cell,small cell,entity
plasma,plasma,entity
major cell,major cell,entity
philosophy,philosophy,entity
activities,activity,entity
emergency room,emergency room,entity
cell biology,cell biology,entity
membrane,membrane,entity
membranes,membrane,entity
bound,bound,entity
endoplasmic reticulum,endoplasmic reticulum,entity
golgi apparatus,Golgi apparatus,entity
chloroplasts,chloroplast,entity
chloroplast,chloroplast,entity
chromosomes,chromosome,entity
chromosome,chromosome,entity
true nucleus,true nucleus,entity
cellular functions,cellular function,entity
complex structure,complex structure,entity
eukaryotic animal cell,eukaryotic animal cell,entity
chromatin,chromatin,entity
associated,associate,event
nucleolus,Nucleolus,entity
nuclear envelope,nuclear envelope,entity
lined,line,event
line,line,event
lines,line,event
pores,pore,entity
pore,pore,entity
rough,Rough,entity
smooth endoplasmic reticulum,Smooth endoplasmic reticulum,entity
smooth,Smooth,entity
lipid synthesis,lipid synthesis,event
secretory proteins,secretory protein,entity
flat membranes,flat membrane,entity
outer membrane,outer membrane,entity
outer membranes,outer membrane,entity
inner membrane,inner membrane,entity
inner membranes,inner membrane,entity
peroxisomes,peroxisomes,entity
lysosomes,lysosome,entity
lysosome,lysosome,entity
vacuoles,vacuole,entity
vacuole,vacuole,entity
protein synthesis,protein synthesis,event
cytoskeleton,cytoskeleton,entity
cytoskeletons,cytoskeleton,entity
microfilaments,microfilament,entity
intermediate filaments,Intermediate filament,event
microtubules,microtubule,entity
microtubule,microtubule,entity
centrosomes,centrosome,entity
cellular cortex,cellular cortex,entity
mitotic spindle,mitotic spindle,entity
centrosome,Centrosome,entity
microtubule-organizing center,microtubule-organizing center,entity
eukaryotic plant cell,eukaryotic plant cell,entity
cytoskeletal,cytoskeletal,entity
plastids,plastid,entity
central vacuole,central vacuole,entity
central vacuoles,central vacuole,entity
photosynthesis,photosynthesis,event
stack,stack,entity
stacked,stack,entity
stacks,stack,entity
pressure,pressure,entity
plastids store pigments,plastid store pigment,entity
major organelles,major organelle,entity
cellular organelles,cellular organelle,entity
phospholipid bilayer,phospholipid bilayer,entity
phospholipid bilayers,phospholipid bilayer,entity
internal contents,internal content,entity
phospholipid,phospholipid,entity
phospholipids,phospholipid,entity
lipid molecule,lipid molecule,entity
fatty acid chains,fatty acid chain,entity
phosphate,phosphate,entity
bilayer,bilayer,entity
hydrophobic,hydrophobic,entity
hydrophilic head group,hydrophilic head group,entity
integral membrane proteins,integral membrane protein,entity
integral membrane protein,integral membrane protein,entity
protein channels,protein channel,entity
peripheral membrane proteins,peripheral membrane protein,entity
peripheral membrane protein,peripheral membrane protein,entity
phospholipid head groups,phospholipid head group,entity
carbohydrates,carbohydrate,entity
carbohydrate,carbohydrate,entity
